date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-05-25,1319.TW,東陽,511000,511000,0,0.02,0.01,unchanged
2026-05-25,1590.TW,亞德客-KY,530000,530000,0,0.27,0.27,unchanged
2026-05-25,1815.TW,富喬,107000,107000,0,0.0,0.0,unchanged
2026-05-25,2002.TW,中鋼,5163000,5163000,0,0.03,0.04,unchanged
2026-05-25,2303.TW,聯電,66190000,66190000,0,2.77,2.9,unchanged
2026-05-25,2308.TW,台達電,6572000,6572000,0,5.06,5.28,unchanged
2026-05-25,2313.TW,華通,4124000,4124000,0,0.42,0.43,unchanged
2026-05-25,2317.TW,鴻海,1000,1000,0,0.0,0.0,unchanged
2026-05-25,2327.TW,國巨*,18313000,18313000,0,4.23,4.44,unchanged
2026-05-25,2330.TW,台積電,11657000,11657000,0,9.66,9.44,unchanged
2026-05-25,2345.TW,智邦,6231000,6231000,0,5.66,5.55,unchanged
2026-05-25,2357.TW,華碩,273000,273000,0,0.07,0.07,unchanged
2026-05-25,2368.TW,金像電,7018000,7669000,651000,3.43,3.83,increased
2026-05-25,2383.TW,台光電,4723000,4723000,0,8.69,9.12,unchanged
2026-05-25,2404.TW,漢唐,1394000,1715000,321000,0.59,0.75,increased
2026-05-25,2439.TW,美律,18000,18000,0,0.0,0.0,unchanged
2026-05-25,2449.TW,京元電子,12919000,12919000,0,1.41,1.44,unchanged
2026-05-25,2454.TW,聯發科,4263000,4263000,0,6.05,6.35,unchanged
2026-05-25,2481.TW,強茂,2056000,2056000,0,0.1,0.1,unchanged
2026-05-25,3008.TW,大立光,329000,329000,0,0.43,0.44,unchanged
2026-05-25,3017.TW,奇鋐,4925000,5041000,116000,4.61,4.55,increased
2026-05-25,3036.TW,文曄,1200000,0,-1200000,0.13,,removed
2026-05-25,3037.TW,欣興,10822000,10822000,0,3.86,3.76,unchanged
2026-05-25,3217.TW,優群,874000,382000,-492000,0.07,0.03,decreased
2026-05-25,3264.TW,欣銓,6217000,6217000,0,0.51,0.49,unchanged
2026-05-25,3376.TW,新日興,1741000,1741000,0,0.13,0.13,unchanged
2026-05-25,3443.TW,創意,96000,96000,0,0.18,0.18,unchanged
2026-05-25,3533.TW,嘉澤,772000,772000,0,0.73,0.7,unchanged
2026-05-25,3653.TW,健策,2267000,2267000,0,3.05,3.0,unchanged
2026-05-25,3661.TW,世芯-KY,1000,1000,0,0.0,0.0,unchanged
2026-05-25,3665.TW,貿聯-KY,4703848,4703848,0,3.85,3.93,unchanged
2026-05-25,3711.TW,日月光投控,14998000,14998000,0,3.09,3.25,unchanged
2026-05-25,4966.TW,譜瑞-KY,1036000,1036000,0,0.3,0.3,unchanged
2026-05-25,5274.TW,信驊,422000,422000,0,2.76,2.62,unchanged
2026-05-25,5347.TW,世界,1000,1000,0,0.0,0.0,unchanged
2026-05-25,5439.TW,高技,3528000,3528000,0,0.5,0.48,unchanged
2026-05-25,6147.TW,頎邦,3201000,3201000,0,0.25,0.27,unchanged
2026-05-25,6187.TW,萬潤,1224000,1224000,0,0.51,0.52,unchanged
2026-05-25,6191.TW,精成科,3988000,3988000,0,0.14,0.14,unchanged
2026-05-25,6223.TW,旺矽,2169000,2169000,0,4.81,4.72,unchanged
2026-05-25,6271.TW,同欣電,686000,686000,0,0.06,0.06,unchanged
2026-05-25,6274.TW,台燿,4151000,4151000,0,2.22,2.33,unchanged
2026-05-25,6278.TW,台表科,3734000,3734000,0,0.34,0.31,unchanged
2026-05-25,6415.TW,矽力*-KY,1038000,1038000,0,0.21,0.23,unchanged
2026-05-25,6510.TW,精測,930000,930000,0,1.16,1.13,unchanged
2026-05-25,6515.TW,穎崴,442000,442000,0,1.41,1.37,unchanged
2026-05-25,6669.TW,緯穎,2344000,2344000,0,4.76,4.61,unchanged
2026-05-25,6805.TW,富世達,1761000,1761000,0,1.16,1.08,unchanged
2026-05-25,8046.TW,南電,12658000,11398000,-1260000,4.35,3.53,decreased
2026-05-25,8150.TW,南茂,11334000,11334000,0,0.33,0.35,unchanged
2026-05-25,8210.TW,勤誠,1967000,1967000,0,0.97,0.99,unchanged
2026-05-25,8358.TW,金居,1980000,1980000,0,0.38,0.38,unchanged
2026-05-25,8996.TW,高力,1034000,1034000,0,0.44,0.41,unchanged
